caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2016-013,2016-013-01,2016-013-01-02,2016-013-01-02-01-09,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1111,"BANK OF AMERICA CORP. v. CITY OF MIAMI, FLORIDA",11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,115,NMGorsuch,,,,,,
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-01,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,111,JGRoberts,1,1,2,2,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-02,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,106,AMKennedy,2,1,1,1,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-03,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,108,CThomas,2,2,1,1,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-04,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,109,RBGinsburg,1,1,2,2,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-05,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,110,SGBreyer,1,2,2,2,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-06,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,112,SAAlito,2,1,1,1,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-07,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,113,SSotomayor,1,1,2,2,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-08,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,114,EKagan,1,1,2,2,0,0
2016-013,2016-013-02,2016-013-02-01,2016-013-02-01-01-09,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,115,NMGorsuch,,,,,,
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-01,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,111,JGRoberts,1,1,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-02,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,106,AMKennedy,3,1,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-03,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,108,CThomas,3,2,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-04,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,109,RBGinsburg,1,1,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-05,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,110,SGBreyer,1,2,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-06,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,112,SAAlito,3,1,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-07,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,113,SSotomayor,1,1,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-08,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,114,EKagan,1,1,1,2,0,0
2016-013,2016-013-02,2016-013-02-02,2016-013-02-02-01-09,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1112,WELLS FARGO v. MIAMI,11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,80060,8,1,1,4,,3,342,NA,110,111,1,8,0,115,NMGorsuch,,,,,,
2016-015,2016-015-01,2016-015-01-01,2016-015-01-01-01-01,6/12/17,1,,137 S. Ct. 1678,198 L. Ed. 2d 150,2017 U.S. LEXIS 3724,2016,1706,Roberts,15-1191,"SESSIONS, ATT'Y GEN. v. MORALES-SANTANA",11/9/16,,327,,106,,1,7,,0,22,,22,,0,2,3,2,2,7,0,1,0,0,20270,2,2,,1,,2,212,NA,109,111,1,8,0,111,JGRoberts,1,1,2,2,0,0
2016-015,2016-015-01,2016-015-01-01,2016-015-01-01-01-02,6/12/17,1,,137 S. Ct. 1678,198 L. Ed. 2d 150,2017 U.S. LEXIS 3724,2016,1706,Roberts,15-1191,"SESSIONS, ATT'Y GEN. v. MORALES-SANTANA",11/9/16,,327,,106,,1,7,,0,22,,22,,0,2,3,2,2,7,0,1,0,0,20270,2,2,,1,,2,212,NA,109,111,1,8,0,106,AMKennedy,1,1,2,2,0,0
2016-015,2016-015-01,2016-015-01-01,2016-015-01-01-01-03,6/12/17,1,,137 S. Ct. 1678,198 L. Ed. 2d 150,2017 U.S. LEXIS 3724,2016,1706,Roberts,15-1191,"SESSIONS, ATT'Y GEN. v. MORALES-SANTANA",11/9/16,,327,,106,,1,7,,0,22,,22,,0,2,3,2,2,7,0,1,0,0,20270,2,2,,1,,2,212,NA,109,111,1,8,0,108,CThomas,4,2,2,2,0,0
